"Breakdown","Year","Value"
"10_Machinery and equipment manufacturing",2012,"264"
"10_Machinery and equipment manufacturing",2012,"295"
"15_Scientific research and technical services",2012,"114"
"15_Scientific research and technical services",2012,"51"
"10_Machinery and equipment manufacturing",2014,"237"
"10_Machinery and equipment manufacturing",2014,"287"
"15_Scientific research and technical services",2014,"105"
"15_Scientific research and technical services",2014,"57"
"10_Machinery and equipment manufacturing",2016,"225"
"10_Machinery and equipment manufacturing",2016,"392"
"15_Scientific research and technical services",2016,"114"
"15_Scientific research and technical services",2016,"75"
"10_Machinery and equipment manufacturing",2018,"240"
"10_Machinery and equipment manufacturing",2018,"378"
"15_Scientific research and technical services",2018,"111"
"15_Scientific research and technical services",2018,"118"
"10_Machinery and equipment manufacturing",2019,"252"
"10_Machinery and equipment manufacturing",2019,"450"
"15_Scientific research and technical services",2019,"102"
"15_Scientific research and technical services",2019,"144"
